Company_Brand,Sector,Stage,HeadQuarter,What_it_does,Amount,Year,Founded,Founders,Investor
Wide Mobility Mechatronics,Industrial Automation,Seed,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,10619650.666501379,2018,,,
Pitstop,Automotive,Seed,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1461746.81668087,2018,,,
Mihuru,Finance,Seed,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,150000.0,2018,,,
Fyle,Accounting,Seed,Bangalore,Fyle is an intelligent expense management platform for enterprises.,1100000.0,2018,,,
AppWharf,AI,Seed,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,10619650.666501379,2018,,,
Antariksh Waste Ventures Pvt ltd,IoT,Seed,Chennai,Waste Management for Smart Cities,7308.73408340435,2018,,,
Cogoport,Air Transportation,Series A,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2018,,,
PaisaDukan,Financial Services,Seed,Mumbai,A P2P lending marketplace platform,650000.0,2018,,,
Sleepy Owl Coffee,Food & Beverages,Seed,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",511611.38583830453,2018,,,
BlueJack,Autonomous Vehicles,Seed,New Delhi,Delhi-based online used vehicles marketplace.,935517.9626757568,2018,,,
PregBuddy,Enterprise Software,Seed,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,10619650.666501379,2018,,,
AgNext Technologies,Agriculture,Series A,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,10619650.666501379,2018,,,
Pando,Logistics,Seed,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2018,,,
Mintifi,Financial Services,Seed,Mumbai,Online lending startup based in Mumbai.,2000000.0,2018,,,
Carcrew,Automotive,Seed,Mumbai,India's Online Auto Repair Marketplace,2000000.0,2018,,,
NicheAI,AI,Angel,Hyderabad,Early stage Artificial Intelligence (AI) start up.,10619650.666501379,2018,,,
Chariot Tech,IoT,Seed,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,292349.363336174,2018,,,
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2018,,,
Loanzen,Financial Services,Seed,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,10619650.666501379,2018,,,
Mojro Technologies,IT,Seed,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2018,,,
Elemential,Blockchain,Seed,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2018,,,
Loadshare,Industrial Automation,Series A,Bangalore,LoadShare is India’s fastest growing logistics company,5000000.0,2018,,,
Yumlane,Food & Beverages,Series A,Mumbai,Food startup Yumlane operated by QwikPik Technology,4000000.0,2018,,,
Kriger Campus,Education,Seed,New Delhi,A Education Start Up.,438524.045004261,2018,,,
Pipa+Bella,E-Commerce,Series A,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2018,,,
Kaleidofin,Financial Services,Seed,Chennai,A fintech platform.,2800000.0,2018,,,
Chakr Innovation,Renewable Energy,Seed,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,10619650.666501379,2018,,,
IndigoLearn,E-Learning,Seed,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2018,,,
UClean,Clean Energy,Seed,New Delhi,UClean is a tech enabled laundry service provider.,584698.726672348,2018,,,
Coutloot,E-Commerce,Seed,Mumbai,The Fashion Re-commerce platform.,1000000.0,2018,,,
Letstrack,Apps,Seed,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2018,,,
Pooltoo,Transport,Seed,New Delhi,Pooltoo offers a premium ride sharing platform.,10619650.666501379,2018,,,
Finzy,Financial Services,Seed,Bangalore,finzy is the premier peer to peer lending solution in India.,1300000.0,2018,,,
Fitternity,Fitness,Seed,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2018,,,
Keito,AI,Seed,Pune,Building an Intelligent Digital Assistant.,10619650.666501379,2018,,,
Tolet for Students,Hospitality,Seed,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",73087.3408340435,2018,,,
Chai Kings,Food & Beverages,Seed,Chennai,Chai Kings is a tea retail chain,292349.363336174,2018,,,
Dainik Jagran,Media and Entertainment,Seed,Kanpur,Dainik Jagran is a media and communications group.,584698.726672348,2018,,,
Playtoome,Broadcasting,Seed,Bangalore,Playtoome is a live entertainment destination,292349.363336174,2018,,,
ONGO Framework,B2B,Angel,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,1000000.0,2018,,,
Notesgen,EdTech,Seed,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,182718.35208510875,2018,,,
Arogya MedTech,Health Care,Seed,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,219262.0225021305,2018,,,
Propshop24,E-Commerce,Seed,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",500000.0,2018,,,
myUpchar,Health Care,Series A,New Delhi,To bring health issues to people in their language.,5000000.0,2018,,,
MissMalini Entertainment,Undisclosed,Seed,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",1520216.6893481049,2018,,,
Rooter,Sports,Seed,New Delhi,Rooter is a mobile-based platform,657786.0675063916,2018,,,
ZestMoney,Big Data,Series A,Bangalore,Zest is India's first completely automated consumer digital lending platform.,13400000.0,2018,,,
alphaics Corporation,Cloud Computing,Seed,Bangalore,Advancing AI compute,10619650.666501379,2018,,,
MyDentistChoice,Health Care,Seed,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2018,,,
Sattviko,Food Processing,Angel,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,10619650.666501379,2018,,,
Sensibull,Trading Platform,Seed,Bangalore,Investment Management Platform,365436.7041702175,2018,,,
Bombay Shaving Company,Consumer Goods,Series A,New Delhi,Bombay Shaving Company is a Men's grooming startup,10619650.666501379,2018,,,
MedCords,Health Care,Seed,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,385901.1596037497,2018,,,
University Living,Education,Seed,New Delhi,University Living is an online global student housing marketplace.,10619650.666501379,2018,,,
&ME,Food & Beverages,Seed,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,10619650.666501379,2018,,,
Enakshi,Fashion,Seed,Ahmedabad,Enakshi is an online apparel brand for women.,116939.7453344696,2018,,,
Ultraviolette Automotive,Automotive,Series A,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,877.048090008522,2018,,,
Inthree Access,Consulting,Series A,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,4000000.0,2018,,,
BUGWORKS Research India,Biotechnology,Series A,Bangalore,BUGWORKS is a drug discovery company.,9000000.0,2018,,,
Guardian.in,Health Care,Seed,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,10619650.666501379,2018,,,
PrestLoans,Credit,Seed,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",100000.0,2018,,,
Wimoxez,Internet,Seed,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",20000.0,2018,,,
India Accelerator,Communities,Angel,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,10619650.666501379,2018,,,
HappyEMI,Consumer,Seed,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,1000000.0,2018,,,
Wishup,Consumer Applications,Seed,Azadpur,Premium Personal Assistance service,10619650.666501379,2018,,,
Hansel.io,Mobile,Series A,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",4000000.0,2018,,,
Propelld,Education,Seed,Bangalore,Propelld is a student education financing platform.,250000.0,2018,,,
PivotRoots,Advertising,Series A,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,10619650.666501379,2018,,,
ZiffyHomes,Marketplace,Seed,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,120000.0,2018,,,
Carmesi,Health Care,Seed,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,496993.9176714958,2018,,,
OckyPocky,E-Learning,Angel,Chandigarh,OckyPocky is a interactive and personalised language learning app for preschool kids.,10619650.666501379,2018,,,
Racetrack,AI,Seed,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",4999174.113048576,2018,,,
WHR,Health Care,Seed,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",10619650.666501379,2018,,,
Asteria Aerospace,Aerospace,Seed,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,10619650.666501379,2018,,,
FabAlley,E-Commerce,Series B,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",8770480.90008522,2018,,,
Tranzmeo,AI,Pre-seed,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,10619650.666501379,2018,,,
SBI Life,Insurance,Private Equity,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,10619650.666501379,2018,,,
Studds Accessories,E-Commerce,Private Equity,Faridabad,Studds Accessories is a scooter accessories service provider in India,14617468.1668087,2018,,,
Design Cafe,Home Decor,Series B,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",29234936.3336174,2018,,,
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",10619650.666501379,2018,,,
Rays Power Infra,Energy,Undisclosed,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,29234936.3336174,2018,,,
AuthMetrik,B2B,Grant,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",10619650.666501379,2018,,,
Khidki,AI,Seed,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,10619650.666501379,2018,,,
LetsTransport,Logistics,Series B,Bangalore,Lets transport is a logistics solution provider.,14617468.1668087,2018,,,
Next Digital Solutions,Digital Marketing,Angel,Kota,Next Digital Solutions is website design & Digital Marketing development company.,1461.74681668087,2018,,,
Portea Medical,Health Care,Debt,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,3654367.041702175,2018,,,
Aavas Financiers,Finance,Post-IPO Debt,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",29234936.3336174,2018,,,
Swiggy,Food Delivery,Series H,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,10619650.666501379,2018,,,
Milkbasket,E-Commerce,Series A,Chandigarh,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",10619650.666501379,2018,,,
Nutrisattva (Proliva),Fitness,Angel,Anand,Nutrisattva is a protein innovation compan,10619650.666501379,2018,,,
Toppr,EdTech,Series C,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,10619650.666501379,2018,,,
Jagaran Microfin,Undisclosed,Debt,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,8039607.491744786,2018,,,
Vivriti Capital,Financial Services,Undisclosed,Chennai,Vivriti Capital is an online platform for institutional debt in India.,10619650.666501379,2018,,,
Be U Salons,Apps,Seed,New Delhi,Be U is India's first subscription based Salon Chain.,438524.045004261,2018,,,
Impact Guru,Creative Agency,Series A,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",10619650.666501379,2018,,,
MobiKwik,Consumer Lending,Series E,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,3508192.360034088,2018,,,
Stones2Milestones,E-Learning,Seed,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,10619650.666501379,2018,,,
Generico,Health Care,Series A,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,10619650.666501379,2018,,,
Adiuvo Diagnostics,Health Diagnostics,Seed,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,10619650.666501379,2018,,,
DataTrained,EdTech,Seed,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",1754096.180017044,2018,,,
OneAssist,Financial Services,Debt,Mumbai,OneAssist is a protection & assistance services platform.,10619650.666501379,2018,,,
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,10619650.666501379,2018,,,
APAC Financial Services,Finance,Private Equity,Mumbai,APAC Financial Services is a financial services platform.,36543670.41702175,2018,,,
Moglix,B2B,Series C,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",10619650.666501379,2018,,,
SEDEMAC Mechatronics,Automotive,Undisclosed,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,10619650.666501379,2018,,,
MadGuy Labs,E-Learning,Undisclosed,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,10619650.666501379,2018,,,
Dee Dee Labs,Embedded Systems,Seed,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,10619650.666501379,2018,,,
FLEECA,Undisclosed,Seed,Jaipur,FLEECA is a Tyre Care Provider company.,10619650.666501379,2018,,,
Shop101,Apps,Series B,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,10619650.666501379,2018,,,
FeedMyPockets,Advertising,Seed,Bangalore,On Demand Staffing Platform,643168.5993395828,2018,,,
Housejoy,Beauty,Series B,Bangalore,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,10619650.666501379,2018,,,
Ambee,Health Care,Angel,Bangalore,Ambee is an Environment analytics startup.,10619650.666501379,2018,,,
FoodBuddy,Food Delivery,Seed,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",877048.090008522,2018,,,
Ninjacart,AgTech,Series B,Bangalore,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,36543670.41702175,2018,,,
Olly Smart Credit Card,Credit Cards,Seed,New Delhi,Olly is a digital credit card for India's working masses and young people.,10619650.666501379,2018,,,
Zestl,Software,Seed,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",10619650.666501379,2018,,,
BYJU’S,EdTech,Private Equity,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,10619650.666501379,2018,,,
Wakefit,Manufacturing,Undisclosed,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,9501354.308425656,2018,,,
Hero Electric,Manufacturing,Undisclosed,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",23387949.06689392,2018,,,
Pentation Analytics,Information Services,Seed,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,10619650.666501379,2018,,,
PerkFinance,Consumer Lending,Seed,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,10619650.666501379,2018,,,
Roposo,Internet,Series C,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10619650.666501379,2018,,,
Plum Goodness,Beauty,Series A,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,10619650.666501379,2018,,,
Drstore,Hospital,Seed,Mumbai,Drstore is a exclusive e- commerce platform.,10619650.666501379,2018,,,
Wow Venue,Events,Undisclosed,Mumbai,Wow Venue is an online platform.,10619650.666501379,2018,,,
Chizel,3D Printing,Seed,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,10619650.666501379,2018,,,
OTO Capital,Automotive,Seed,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,730873.408340435,2018,,,
Boodmo,Automotive,Seed,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,1023222.7716766091,2018,,,
Khabri,Apps,Seed,Chandigarh,Khabri is a digital audio platform for content in vernacular.,10619650.666501379,2018,,,
MyNewCar.in,Automotive,Undisclosed,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,10619650.666501379,2018,,,
HalaPlay Technologies,Digital Entertainment,Series A,Bangalore,A daily fantasy sports platform.,10619650.666501379,2018,,,
PlanetSpark,E-Learning,Seed,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,233879.4906689392,2018,,,
WheelsEMI,Undisclosed,Series B,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",10619650.666501379,2018,,,
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",1498290.4870978917,2018,,,
OYO,Hospitality,Series E,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,10619650.666501379,2018,,,
Quikr,Classifieds,Debt,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",8039607.491744786,2018,,,
Tabono,Sports,Seed,Gurgaon,Tabono is a one stop environment for all your fitness solution.,10619650.666501379,2018,,,
LearnApp,Banking,Seed,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",292349.363336174,2018,,,
Shopkirana,E-Commerce,Undisclosed,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,10619650.666501379,2018,,,
Fric Bergen,Undisclosed,Undisclosed,Alwar,Fric Bergen is a leader in the specialty food industry.,10619650.666501379,2018,,,
Articbot,AI,Grant,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,17540.96180017044,2018,,,
BuildSupply,Enterprise Resource Planning (ERP),Series A,Gurgaon,India’s most advanced ERP system for the real estate,3654367.041702175,2018,,,
Fusion Microfinance,Banking,Series E,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,76010834.46740524,2018,,,
Any time Doctor,Software,Angel,Chennai,Anytime Doctor is a Software company.,10619650.666501379,2018,,,
Go Payments,Information Services,Corporate Round,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,10619650.666501379,2018,,,
Guiddoo World,Audio,Seed,Mumbai,We build In-Destination Experiences!,10619650.666501379,2018,,,
ION Energy,Energy,Undisclosed,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,10619650.666501379,2018,,,
UnoTag,AI,Pre-seed,Bangalore,SaaS to verify counterfeit,10619650.666501379,2018,,,
CivilCops,Government,Pre-seed,Gurgaon,Gov-Tech,10619650.666501379,2018,,,
Rockmetric,IT,Grant,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",10619650.666501379,2018,,,
Classworks India,Education,Undisclosed,Chennai,"Saas, Web App, Mobile App, School Education",1461.74681668087,2018,,,
Snapmint,Consumer Lending,Seed,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",10619650.666501379,2018,,,
artbandhu,Digital Media,Pre-seed,Bangalore,Ai platform for Art and Creative Community,10619650.666501379,2018,,,
Survaider,Business Intelligence,Seed,Bangalore,Stethoscope for customer feedback !,500000.0,2018,,,
Credy,Credit,Seed,Bangalore,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0,2018,,,
iChamp,E-Learning,Seed,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0,2018,,,
Qandle,Software,Seed,Gurgaon,A cloud-based HR management and employee engagement platform.,1200000.0,2018,,,
Avishkaar Box,Children,Seed,New Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",730873.408340435,2018,,,
Gegadyne Energy,Automotive,Angel,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,10619650.666501379,2018,,,
HyperXchange,E-Commerce,Series A,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0,2018,,,
Deftouch,Undisclosed,Seed,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,10619650.666501379,2018,,,
Doodhwala,Food Delivery,Seed,Bangalore,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018,,,
DronaHQ,Mobile,Angel,Mumbai,DronaHQ is an enterprise mobile engagement platform.,500000.0,2018,,,
FastFox,Rental,Series A,Gurgaon,FastFox: Market Network for Home Rentals (India),1461746.81668087,2018,,,
BuyForexOnline,Travel,Undisclosed,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0,2018,,,
Colive.in,Consumer,Seed,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018,,,
Agricxlab Private Limited,B2B,Seed,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018,,,
Corefactors,Undisclosed,Seed,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",10619650.666501379,2018,,,
Fincash.com,Wealth Management,Seed,Mumbai,A startup in the personal finance space in India .,150000.0,2018,,,
Pandorum Technologies,Biotechnology,Series A,Bangalore,Bengaluru based biotech startup.,3600000.0,2018,,,
Shirsa Labs,Education,Seed,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018,,,
PetSutra,Veterinary,Seed,Gurgaon,Gurugram-based Online petcare platform.,138865.94758468264,2018,,,
Awaaz De,Internet,Angel,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,10619650.666501379,2018,,,
PinkBlue,Health Care,Seed,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018,,,
Eduvanz,Finance,Angel,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018,,,
Rupeek,Financial Services,Series A,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018,,,
Backpacker Panda Holidays Private Limited,Tourism,Series A,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018,,,
Shape (School Health and Physical Education),Education,Seed,Pune,Physical education start up,200000.0,2018,,,
Placio,Hospitality,Seed,Noida,Placio is a student housing and a complete broker-free platform.,2000000.0,2018,,,
Aviom India Housing Finance,Finance,Series A,New Delhi,Delhi based housing finance company.,2192620.225021305,2018,,,
GenRobotic,Market Research,Seed,Trivandrum,A Robotic Company.,10619650.666501379,2018,,,
HeyHolidays,Tourism,Seed,Bangalore,"HeyHolidays, a global player in online vacation rentals.",1000000.0,2018,,,
Pratilipi,Digital Media,Series A,Bangalore,Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018,,,
SectorQube,Consumer Electronics,Seed,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,10619650.666501379,2018,,,
Food Memories,Food & Beverages,Seed,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,10619650.666501379,2018,,,
ZAMROO,Internet,Seed,New Delhi,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,10619650.666501379,2018,,,
Silversparro Technologies Pvt. Ltd,Analytics,Seed,Gurgaon,Silversparro is a deep learning technology solution provider.,300000.0,2018,,,
Creator’s Gurukul,Facilities Support Services,Angel,Gurgaon,A coworking space provider.,10619650.666501379,2018,,,
Emflux Motors,Automotive,Seed,Bangalore,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018,,,
Tricog Health Services Pvt Ltd,Health Care,Series A,Bangalore,Predictive Healthcare Analytics Company,4000000.0,2018,,,
Scapic,Cloud Computing,Seed,Bangalore,Virtual/Augmented Reality Start Up .,500000.0,2018,,,
6Degree,Fashion,Seed,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018,,,
Chrysalis (EZ Vidya),Education,Seed,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,10619650.666501379,2018,,,
Ekincare,Medical,Series A,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018,,,
Streo,Music Streaming,Seed,Gurgaon,"Live stream music from nightclubs, bars & festivals!",10619650.666501379,2018,,,
Groww,Finance,Seed,Kormangala,Groww offers a new way of investing money.,120000.0,2018,,,
Cell Propulsion,Undisclosed,Seed,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,102322.2771676609,2018,,,
Chezuba,Internet,Angel,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,20464.45543353218,2018,,,
Ontrack Technologies Pvt. Ltd,Retail,Seed,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,10619650.666501379,2018,,,
Wealthtrust,Finance,Seed,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0,2018,,,
